x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
x,p,e,e,e,e,e,e,g,e,e,e,e,e,e,e,x
x,e,x,x,x,e,e,f,e,e,e,e,e,e,e,e,x
x,e,x,x,x,e,e,e,e,e,e,e,e,e,e,e,x
x,e,x,x,x,e,e,e,e,e,e,e,e,e,e,e,x
x,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,x
x,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,x
x,e,e,e,e,e,e,e,e,e,e,e,e,e,x,e,x
x,e,e,e,e,e,e,e,f,e,e,e,e,e,x,e,x
x,e,e,e,e,e,e,e,e,e,e,e,e,e,x,e,x
x,e,e,e,e,e,e,e,e,e,e,e,e,e,x,e,x
x,e,e,e,e,e,e,e,e,e,e,e,e,e,x,e,x
x,e,x,x,x,x,e,e,e,e,e,e,e,e,x,e,x
x,e,x,e,e,e,e,f,e,e,e,e,e,e,x,e,x
x,e,x,x,x,x,e,e,e,e,e,e,e,e,e,e,x
x,e,e,e,e,e,e,e,e,e,e,e,e,e,e,e,x
x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
